Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Nepal,Consumer Price Index CPI,2013-08-31T00:00:00,92.7,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2013-09-30T00:00:00,92.8,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2013-10-31T00:00:00,93.2,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2013-11-30T00:00:00,93.6,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2013-12-31T00:00:00,92.9,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2014-01-31T00:00:00,92.3,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2014-02-28T00:00:00,92.2,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2014-03-31T00:00:00,92.6,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2014-04-30T00:00:00,93.2,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2014-05-31T00:00:00,94.6,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2014-06-30T00:00:00,94.2,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2014-07-31T00:00:00,95,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2014-08-31T00:00:00,99.6,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2014-09-30T00:00:00,99.9,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2014-10-31T00:00:00,100.2,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2014-11-30T00:00:00,100.4,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2014-12-31T00:00:00,99.4,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2015-01-31T00:00:00,98.6,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2015-02-28T00:00:00,98.7,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2015-03-31T00:00:00,99.1,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2015-04-30T00:00:00,99.7,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2015-05-31T00:00:00,101.3,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2015-06-30T00:00:00,101.2,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2015-07-31T00:00:00,102.2,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2015-08-31T00:00:00,106.5,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2015-09-30T00:00:00,107.1,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2015-10-31T00:00:00,108.4,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2015-11-30T00:00:00,110.9,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2015-12-31T00:00:00,110.9,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2016-01-31T00:00:00,110.5,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2016-02-29T00:00:00,109.8,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2016-03-31T00:00:00,109.2,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2016-04-30T00:00:00,109.4,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2016-05-31T00:00:00,111.5,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2016-06-30T00:00:00,112.4,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2016-07-31T00:00:00,112.9,Monthly,NEPALCPIC,2016-09-20T10:10:00
Nepal,Consumer Price Index CPI,2016-08-31T00:00:00,115.7,Monthly,NEPALCPIC,2017-01-02T12:46:00
Nepal,Consumer Price Index CPI,2016-09-30T00:00:00,115.5,Monthly,NEPALCPIC,2017-01-02T12:47:00
Nepal,Consumer Price Index CPI,2016-10-31T00:00:00,115.7,Monthly,NEPALCPIC,2017-01-02T12:47:00
Nepal,Consumer Price Index CPI,2016-11-30T00:00:00,116.1,Monthly,NEPALCPIC,2017-01-02T12:47:00
Nepal,Consumer Price Index CPI,2016-12-31T00:00:00,115.1,Monthly,NEPALCPIC,2018-01-25T17:49:00
Nepal,Consumer Price Index CPI,2017-01-31T00:00:00,113.9,Monthly,NEPALCPIC,2018-01-25T17:49:00
Nepal,Consumer Price Index CPI,2017-02-28T00:00:00,113.38,Monthly,NEPALCPIC,2018-01-25T17:49:00
Nepal,Consumer Price Index CPI,2017-03-31T00:00:00,112.4,Monthly,NEPALCPIC,2018-01-25T17:49:00
Nepal,Consumer Price Index CPI,2017-04-30T00:00:00,113.5,Monthly,NEPALCPIC,2018-01-25T17:49:00
Nepal,Consumer Price Index CPI,2017-05-31T00:00:00,115.22,Monthly,NEPALCPIC,2018-01-25T17:49:00
Nepal,Consumer Price Index CPI,2017-06-30T00:00:00,115.57,Monthly,NEPALCPIC,2018-01-25T17:49:00
Nepal,Consumer Price Index CPI,2017-07-31T00:00:00,115.9,Monthly,NEPALCPIC,2018-06-12T11:41:00
